source	target
213705_start	90385_start	pp
193037_start	-60255_start	pp
-43077_start	-374221_start	pp
90889_start	-374221_start	pp
-60255_start	-321793_start	pp
-60255_start	-321799_start	pp
-68828_start	321793_start	pp
-68828_start	321799_start	pp
90385_start	-81827_start	pp
90385_start	-273313_start	pp
43077_start	180213_start	pp
-81827_start	-68828_start	pp
90875_start	-68828_start	pp
-90385_start	-213705_start	pp
-90385_start	213705_start	pp
-90875_start	374221_start	pp
-90889_start	374221_start	pp
81827_start	-90385_start	pp
201640_start	180213_start	pp
321793_start	60255_start	pp
-180213_start	-43077_start	pp
-180213_start	-201640_start	pp
-193037_start	-60255_start	pp
-201640_start	-180213_start	pp
-213705_start	90385_start	pp
60255_start	-193037_start	pp
60255_start	193037_start	pp
180213_start	201640_start	pp
180213_start	362535_start	pp
321799_start	60255_start	pp
68828_start	81827_start	pp
68828_start	-90875_start	pp
-321793_start	68828_start	pp
-321799_start	68828_start	pp
-362535_start	-180213_start	pp
-374221_start	90875_start	pp
-374221_start	90889_start	pp
374221_start	43077_start	pp
374221_start	-90889_start	pp
273313_start	-90385_start	pp
